date,county,state,fips,cases,deaths
7/14/2020,Autauga,Alabama,1001,746,18
7/14/2020,Baldwin,Alabama,1003,1414,12
7/14/2020,Barbour,Alabama,1005,428,3
7/14/2020,Bibb,Alabama,1007,236,2
7/14/2020,Blount,Alabama,1009,366,1
7/14/2020,Bullock,Alabama,1011,385,11
7/14/2020,Butler,Alabama,1013,661,31
7/14/2020,Calhoun,Alabama,1015,589,6
7/14/2020,Chambers,Alabama,1017,712,32
7/14/2020,Cherokee,Alabama,1019,140,7
7/14/2020,Chilton,Alabama,1021,366,4
7/14/2020,Choctaw,Alabama,1023,223,12
7/14/2020,Clarke,Alabama,1025,330,6
7/14/2020,Clay,Alabama,1027,92,2
7/14/2020,Cleburne,Alabama,1029,53,1
7/14/2020,Coffee,Alabama,1031,461,4
7/14/2020,Colbert,Alabama,1033,592,6
7/14/2020,Conecuh,Alabama,1035,250,8
7/14/2020,Coosa,Alabama,1037,69,1
7/14/2020,Covington,Alabama,1039,472,14
7/14/2020,Crenshaw,Alabama,1041,144,3
7/14/2020,Cullman,Alabama,1043,699,6
7/14/2020,Dale,Alabama,1045,417,2
7/14/2020,Dallas,Alabama,1047,1048,10
7/14/2020,DeKalb,Alabama,1049,1128,7
7/14/2020,Elmore,Alabama,1051,1126,24
7/14/2020,Escambia,Alabama,1053,529,8
7/14/2020,Etowah,Alabama,1055,1122,14
7/14/2020,Fayette,Alabama,1057,93,2
7/14/2020,Franklin,Alabama,1059,965,16
7/14/2020,Geneva,Alabama,1061,106,0
7/14/2020,Greene,Alabama,1063,201,9
7/14/2020,Hale,Alabama,1065,372,23
7/14/2020,Henry,Alabama,1067,163,4
7/14/2020,Houston,Alabama,1069,673,9
7/14/2020,Jackson,Alabama,1071,477,3
7/14/2020,Jefferson,Alabama,1073,7265,176
7/14/2020,Lamar,Alabama,1075,96,1
7/14/2020,Lauderdale,Alabama,1077,636,7
7/14/2020,Lawrence,Alabama,1079,154,0
7/14/2020,Lee,Alabama,1081,1768,38
7/14/2020,Limestone,Alabama,1083,697,5
7/14/2020,Lowndes,Alabama,1085,502,25
7/14/2020,Macon,Alabama,1087,233,9
7/14/2020,Madison,Alabama,1089,2767,10
7/14/2020,Marengo,Alabama,1091,366,11
7/14/2020,Marion,Alabama,1093,336,14
7/14/2020,Marshall,Alabama,1095,2105,12
7/14/2020,Mobile,Alabama,1097,5231,152
7/14/2020,Monroe,Alabama,1099,286,4
7/14/2020,Montgomery,Alabama,1101,4739,116
7/14/2020,Morgan,Alabama,1103,1446,6
7/14/2020,Perry,Alabama,1105,265,2
7/14/2020,Pickens,Alabama,1107,283,6
7/14/2020,Pike,Alabama,1109,497,5
7/14/2020,Randolph,Alabama,1111,284,10
7/14/2020,Russell,Alabama,1113,743,0
7/14/2020,St. Clair,Alabama,1115,663,3
7/14/2020,Shelby,Alabama,1117,1863,26
7/14/2020,Sumter,Alabama,1119,305,13
7/14/2020,Talladega,Alabama,1121,467,8
7/14/2020,Tallapoosa,Alabama,1123,660,70
7/14/2020,Tuscaloosa,Alabama,1125,2799,56
7/14/2020,Walker,Alabama,1127,1143,35
7/14/2020,Washington,Alabama,1129,161,8
7/14/2020,Wilcox,Alabama,1131,328,8
7/14/2020,Winston,Alabama,1133,319,7
7/14/2020,Aleutians East Borough,Alaska,2013,2,0
7/14/2020,Aleutians West Census Area,Alaska,2016,6,0
7/14/2020,Anchorage,Alaska,2020,840,8
7/14/2020,Bethel Census Area,Alaska,2050,18,0
7/14/2020,Bristol Bay Borough,Alaska,2060,57,0
7/14/2020,Denali Borough,Alaska,2068,1,0
7/14/2020,Dillingham Census Area,Alaska,2070,21,0
7/14/2020,Fairbanks North Star Borough,Alaska,2090,282,2
7/14/2020,Haines Borough,Alaska,2100,6,0
7/14/2020,Hoonah-Angoon Census Area,Alaska,2105,13,0
7/14/2020,Juneau City and Borough,Alaska,2110,58,2
7/14/2020,Kenai Peninsula Borough,Alaska,2122,232,1
7/14/2020,Ketchikan Gateway Borough,Alaska,2130,32,0
7/14/2020,Kodiak Island Borough,Alaska,2150,12,0
7/14/2020,Kusilvak Census Area,Alaska,2158,2,0
7/14/2020,Lake and Peninsula Borough,Alaska,2164,5,0
7/14/2020,Matanuska-Susitna Borough,Alaska,2170,161,2
7/14/2020,Nome Census Area,Alaska,2180,18,0
7/14/2020,North Slope Borough,Alaska,2185,6,0
7/14/2020,Northwest Arctic Borough,Alaska,2188,7,0
7/14/2020,Petersburg Borough,Alaska,2195,9,0
7/14/2020,Prince of Wales-Hyder Census Area,Alaska,2198,3,0
7/14/2020,Sitka City and Borough,Alaska,2220,18,0
7/14/2020,Skagway Municipality,Alaska,2230,0,0
7/14/2020,Southeast Fairbanks Census Area,Alaska,2240,22,0
7/14/2020,Valdez-Cordova Census Area,Alaska,2261,44,0
7/14/2020,Wrangell City and Borough,Alaska,2275,8,0
7/14/2020,Yakutat City and Borough,Alaska,2282,0,0
7/14/2020,Yukon-Koyukuk Census Area,Alaska,2290,14,0
7/14/2020,Apache,Arizona,4001,2611,104
7/14/2020,Cochise,Arizona,4003,1100,27
7/14/2020,Coconino,Arizona,4005,2523,102
7/14/2020,Gila,Arizona,4007,468,15
7/14/2020,Graham,Arizona,4009,218,4
7/14/2020,Greenlee,Arizona,4011,33,1
7/14/2020,La Paz,Arizona,4012,412,7
7/14/2020,Maricopa,Arizona,4013,84233,1198
7/14/2020,Mohave,Arizona,4015,1947,99
7/14/2020,Navajo,Arizona,4017,4482,145
7/14/2020,Pima,Arizona,4019,12114,338
7/14/2020,Pinal,Arizona,4021,5945,88
7/14/2020,Santa Cruz,Arizona,4023,2208,33
7/14/2020,Yavapai,Arizona,4025,1201,21
7/14/2020,Yuma,Arizona,4027,8631,159
7/14/2020,Arkansas,Arkansas,5001,66,0
7/14/2020,Ashley,Arkansas,5003,111,3
7/14/2020,Baxter,Arkansas,5005,31,0
7/14/2020,Benton,Arkansas,5007,3551,23
7/14/2020,Boone,Arkansas,5009,63,1
7/14/2020,Bradley,Arkansas,5011,82,2
7/14/2020,Calhoun,Arkansas,5013,4,0
7/14/2020,Carroll,Arkansas,5015,236,6
7/14/2020,Chicot,Arkansas,5017,224,3
7/14/2020,Clark,Arkansas,5019,76,0
7/14/2020,Clay,Arkansas,5021,84,3
7/14/2020,Cleburne,Arkansas,5023,137,4
7/14/2020,Cleveland,Arkansas,5025,38,0
7/14/2020,Columbia,Arkansas,5027,112,5
7/14/2020,Conway,Arkansas,5029,98,3
7/14/2020,Craighead,Arkansas,5031,610,7
7/14/2020,Crawford,Arkansas,5033,291,3
7/14/2020,Crittenden,Arkansas,5035,879,14
7/14/2020,Cross,Arkansas,5037,102,1
7/14/2020,Dallas,Arkansas,5039,13,0
7/14/2020,Desha,Arkansas,5041,85,1
7/14/2020,Drew,Arkansas,5043,96,2
7/14/2020,Faulkner,Arkansas,5045,810,4
7/14/2020,Franklin,Arkansas,5047,34,1
7/14/2020,Fulton,Arkansas,5049,18,0
7/14/2020,Garland,Arkansas,5051,347,3
7/14/2020,Grant,Arkansas,5053,62,0
7/14/2020,Greene,Arkansas,5055,154,0
7/14/2020,Hempstead,Arkansas,5057,96,1
7/14/2020,Hot Spring,Arkansas,5059,1294,1
7/14/2020,Howard,Arkansas,5061,154,1
7/14/2020,Independence,Arkansas,5063,79,0
7/14/2020,Izard,Arkansas,5065,26,1
7/14/2020,Jackson,Arkansas,5067,42,0
7/14/2020,Jefferson,Arkansas,5069,900,29
7/14/2020,Johnson,Arkansas,5071,427,0
7/14/2020,Lafayette,Arkansas,5073,32,2
7/14/2020,Lawrence,Arkansas,5075,123,9
7/14/2020,Lee,Arkansas,5077,850,5
7/14/2020,Lincoln,Arkansas,5079,1052,11
7/14/2020,Little River,Arkansas,5081,50,0
7/14/2020,Logan,Arkansas,5083,89,0
7/14/2020,Lonoke,Arkansas,5085,213,1
7/14/2020,Madison,Arkansas,5087,224,1
7/14/2020,Marion,Arkansas,5089,14,0
7/14/2020,Miller,Arkansas,5091,291,2
7/14/2020,Mississippi,Arkansas,5093,349,3
7/14/2020,Monroe,Arkansas,5095,27,0
7/14/2020,Montgomery,Arkansas,5097,7,0
7/14/2020,Nevada,Arkansas,5099,112,3
7/14/2020,Newton,Arkansas,5101,12,0
7/14/2020,Ouachita,Arkansas,5103,37,0
7/14/2020,Perry,Arkansas,5105,34,0
7/14/2020,Phillips,Arkansas,5107,191,5
